,Phylum,Order,Family,Genus,Species,Sampling Location,Habitat,Publication,Accession,checkm_completeness,checkm_contamination,bact71_completeness,bact71_contamination,Genome size,# scaffolds
ASM1427446v1,Acidobacteriota,Acidobacteriales,Acidobacteriaceae,Acidobacterium_A,Acidobacterium_A sp014274465,,,,GCF_014274465.1,97.41,0.00,97.30,1.35,6271114,1
ASM1464285v1,Acidobacteriota,Acidobacteriales,Acidobacteriaceae,Edaphobacter,Edaphobacter acidisoli,,,,GCF_014642855.1,100.00,0.00,97.30,0.00,4196269,7
ASM1464033v1,Acidobacteriota,Acidobacteriales,Acidobacteriaceae,Edaphobacter,Edaphobacter dinghuensis,,,,GCF_014640335.1,100.00,0.00,97.30,0.00,4535631,9
ASM1420136v1,Acidobacteriota,Acidobacteriales,Acidobacteriaceae,Edaphobacter,Edaphobacter lichenicola_A,,,,GCF_014201365.1,98.28,0.00,98.65,0.00,5122604,3
ASM1420131v1,Acidobacteriota,Acidobacteriales,Acidobacteriaceae,Edaphobacter,Edaphobacter lichenicola_B,,,,GCF_014201315.1,100.00,0.34,98.65,1.35,4880565,15
ASM1420137v1,Acidobacteriota,Acidobacteriales,Acidobacteriaceae,Edaphobacter,Edaphobacter lichenicola_D,,,,GCF_014201375.1,98.28,0.00,98.65,0.00,4827422,15
ASM1420133v1,Acidobacteriota,Acidobacteriales,Acidobacteriaceae,Edaphobacter,Edaphobacter lichenicola_E,,,,GCF_014201335.1,100.00,0.00,98.65,1.35,6178831,23
ASM1427468v1,Acidobacteriota,Acidobacteriales,Acidobacteriaceae,Edaphobacter,Edaphobacter sp014274685,,,,GCF_014274685.1,100.00,0.00,98.65,0.00,4254614,1
ASM1420322v1,Acidobacteriota,Acidobacteriales,Acidobacteriaceae,Granulicella_A,Granulicella_A mallensis_A,,,,GCF_014203225.1,100.00,0.86,98.65,1.35,6472662,52
ASM1844954v1,Acidobacteriota,Acidobacteriales,Acidobacteriaceae,Granulicella_B,,,,,GCF_018449545.1,100.00,0.00,98.65,1.35,6151722,56
ASM342862v2,Acidobacteriota,Acidobacteriales,Acidobacteriaceae,Palsa-343,Palsa-343 sp003428625,,,,GCF_003428625.2,100.00,0.00,98.65,1.35,5001827,15
ASM1420145v1,Acidobacteriota,Acidobacteriales,Acidobacteriaceae,Silvibacterium,Silvibacterium bohemicum,,,,GCF_014201455.1,100.00,0.00,98.65,2.70,6452904,21
ASM1464035v1,Acidobacteriota,Acidobacteriales,Acidobacteriaceae,Silvibacterium,Silvibacterium dinghuense,,,,GCF_014640355.1,99.14,0.00,98.65,1.35,5114915,8
ASM1408394v1,Acidobacteriota,Acidobacteriales,Acidobacteriaceae,UBA5172,UBA5172 sp014083945,,,,GCF_014083945.1,100.00,0.00,98.65,1.35,3928701,1
ASM40259v1,Acidobacteriota,Aminicenantales,Aminicenantaceae,Aminicenans,Aminicenans sakinawicola,,,,GCF_000402595.1,95.34,0.86,86.49,1.35,2970774,144
OTU1,Acidobacteriota,Aminicenantales,Aminicenantaceae,Aminicenans,Aminicenans sakinawicola,,,,GCF_000493965.1,93.62,0.86,86.49,0.00,2913626,134
ASM1830480v1,Acidobacteriota,Chloracidobacteriales,Chloracidobacteriaceae,Chloracidobacterium,,,,,GCF_018304805.1,97.24,0.00,81.08,4.05,3662232,2
ASM1830482v1,Acidobacteriota,Chloracidobacteriales,Chloracidobacteriaceae,Chloracidobacterium,,,,,GCF_018304825.1,97.55,0.00,81.08,2.70,3659143,2
ASM1830468v1,Acidobacteriota,Chloracidobacteriales,Chloracidobacteriaceae,Chloracidobacterium,Chloracidobacterium thermophilum,,,,GCF_018304685.1,96.93,0.00,81.08,2.70,3635588,2
ASM1830470v1,Acidobacteriota,Chloracidobacteriales,Chloracidobacteriaceae,Chloracidobacterium,Chloracidobacterium thermophilum_A,,,,GCF_018304705.1,95.86,0.00,83.78,4.05,3766674,2
ASM1830476v1,Acidobacteriota,Chloracidobacteriales,Chloracidobacteriaceae,Chloracidobacterium,Chloracidobacterium thermophilum_A,,,,GCF_018304765.1,97.59,0.00,85.14,4.05,3715176,2
ASM1659257v1,Acidobacteriota,UM-FILTER-49-7,UM-FILTER-49-7,,,,,,GCF_016592575.1,96.55,0.00,93.24,0.00,2317141,1
ASM1621236v1,Methylomirabilota,,,,,,,,GCA_016212365.1,94.83,1.72,94.59,1.35,1674474,196
ASM1135906v1,Methylomirabilota,DTKO01,DTKO01,DTKO01,DTKO01 sp011359065,,,,GCA_011359065.1,96.55,0.00,95.95,0.00,2299315,64
ASM1618070v1,Methylomirabilota,Methylomirabilales,,,,,,,GCA_016180705.1,73.82,0.00,77.03,0.00,1651255,302
ASM1619329v1,Methylomirabilota,Methylomirabilales,,,,,,,GCA_016193295.1,80.25,1.72,79.73,1.35,1609189,309
ASM1619902v1,Methylomirabilota,Methylomirabilales,,,,,,,GCA_016199025.1,81.16,0.69,78.38,1.35,2320382,309
ASM1620973v1,Methylomirabilota,Methylomirabilales,2-02-FULL-66-22,,,,,,GCA_016209735.1,77.59,0.00,79.73,0.00,1693394,62
ASM1617690v1,Methylomirabilota,Methylomirabilales,2-02-FULL-66-22,2-02-FULL-66-22,,,,,GCA_016176905.1,76.72,1.88,82.43,1.35,3281195,510
ASM1618065v1,Methylomirabilota,Methylomirabilales,2-02-FULL-66-22,2-02-FULL-66-22,,,,,GCA_016180655.1,82.45,0.00,90.54,1.35,3868493,347
ASM1618773v1,Methylomirabilota,Methylomirabilales,2-02-FULL-66-22,2-02-FULL-66-22,,,,,GCA_016187735.1,92.76,2.59,91.89,2.70,3417936,613
ASM1619262v1,Methylomirabilota,Methylomirabilales,2-02-FULL-66-22,2-02-FULL-66-22,,,,,GCA_016192625.1,86.29,2.04,82.43,1.35,3085887,500
ASM1620793v1,Methylomirabilota,Methylomirabilales,2-02-FULL-66-22,2-02-FULL-66-22,,,,,GCA_016207935.1,96.55,3.61,91.89,1.35,3198925,513
ASM1620864v1,Methylomirabilota,Methylomirabilales,2-02-FULL-66-22,2-02-FULL-66-22,,,,,GCA_016208645.1,96.55,1.72,97.30,1.35,3428220,583
ASM177124v2,Methylomirabilota,Methylomirabilales,2-02-FULL-66-22,2-02-FULL-66-22,2-02-FULL-66-22 sp001771285,,,,GCA_001771245.1,94.83,3.45,97.30,1.35,4424322,218
ASM177128v1,Methylomirabilota,Methylomirabilales,2-02-FULL-66-22,2-02-FULL-66-22,2-02-FULL-66-22 sp001771285,,,,GCA_001771285.1,93.68,0.00,94.59,0.00,4348215,253
ASM1105464v1,Methylomirabilota,Methylomirabilales,2-02-FULL-66-22,2-02-FULL-66-22,2-02-FULL-66-22 sp011054645,,,,GCA_011054645.1,96.39,0.00,93.24,2.70,4140923,179
ASM1945607v1,Methylomirabilota,Methylomirabilales,CSP1-5,CSP1-5,,,,,GCA_019456075.1,87.93,0.00,89.19,2.70,1781765,102
ASM2002779v1,Methylomirabilota,Methylomirabilales,CSP1-5,CSP1-5,,,,,GCA_020027795.1,77.14,1.02,82.43,0.00,1515835,325
ASM144349v1,Methylomirabilota,Methylomirabilales,CSP1-5,CSP1-5,CSP1-5 sp001443495,,,,GCA_001443495.1,100.00,1.72,98.65,0.00,2767502,40
ASM1297430v1,Methylomirabilota,Methylomirabilales,CSP1-5,CSP1-5,CSP1-5 sp012974305,,,,GCA_012974305.1,91.22,1.72,90.54,1.35,2822896,282
ASM1566108v1,Methylomirabilota,Methylomirabilales,Methylomirabilaceae,,,,,,GCA_015661085.1,93.10,3.45,83.78,0.00,1523819,282
ASM1619025v1,Methylomirabilota,Methylomirabilales,Methylomirabilaceae,,,,,,GCA_016190255.1,82.76,1.72,79.73,0.00,1662904,159
ASM1620038v1,Methylomirabilota,Methylomirabilales,Methylomirabilaceae,,,,,,GCA_016200385.1,79.70,0.31,71.62,1.35,2214058,411
ASM1620709v1,Methylomirabilota,Methylomirabilales,Methylomirabilaceae,,,,,,GCA_016207095.1,94.83,1.72,90.54,0.00,2903549,103
ASM1684440v1,Methylomirabilota,Methylomirabilales,Methylomirabilaceae,,,,,,GCA_016844405.1,86.21,0.16,79.73,0.00,1385946,288
HainichH43,Methylomirabilota,Methylomirabilales,Methylomirabilaceae,,,,,,GCA_919902085.1,92.48,2.35,74.32,0.00,1799363,505
ASM1619028v1,Methylomirabilota,Methylomirabilales,Methylomirabilaceae,Methylomirabilis,,,,,GCA_016190285.1,90.23,0.00,87.84,0.00,2237094,213
ASM304403v1,Methylomirabilota,Methylomirabilales,Methylomirabilaceae,Methylomirabilis,Methylomirabilis limnetica,Switzerland: Lake Zug,freshwater lake,Graf2018,GCF_003044035.1,99.84,0.00,94.59,0.00,2554766,40
ASM902620v1,Methylomirabilota,Methylomirabilales,Methylomirabilaceae,Methylomirabilis,Methylomirabilis oxyfera,,,,GCA_009026205.1,100.00,0.00,95.95,0.00,2811209,45
ASM9116v1,Methylomirabilota,Methylomirabilales,Methylomirabilaceae,Methylomirabilis,Methylomirabilis oxyfera,Netherlands: Twentekanaal,culture enrichment from ditch sediment,Ettwig2010,GCA_000091165.1,100.00,0.00,95.95,1.35,2752854,1
ASM1991228v1,Methylomirabilota,Methylomirabilales,Methylomirabilaceae,Methylomirabilis,Methylomirabilis oxyfera_A,,,,GCA_019912285.1,98.28,0.00,95.95,0.00,3049103,104
ASM263238v1,Methylomirabilota,Methylomirabilales,Methylomirabilaceae,Methylomirabilis,Methylomirabilis oxyfera_A,,,,GCA_002632385.1,98.28,0.00,95.95,0.00,3077510,62
DAMOMELA,Methylomirabilota,Methylomirabilales,Methylomirabilaceae,Methylomirabilis,Methylomirabilis oxyfera_A,,,,GCA_902196205.1,98.28,0.00,95.95,0.00,3048664,90
ASM1991242v1,Methylomirabilota,Methylomirabilales,Methylomirabilaceae,Methylomirabilis,Methylomirabilis sp002634395,,,,GCA_019912425.1,98.28,0.00,93.24,1.35,2648518,167
ASM263439v1,Methylomirabilota,Methylomirabilales,Methylomirabilaceae,Methylomirabilis,Methylomirabilis sp002634395,,,,GCA_002634395.1,98.28,1.72,90.54,4.05,2971147,164
ASM1202687v1,Methylomirabilota,Methylomirabilales,Methylomirabilaceae,Methylomirabilis,Methylomirabilis sp003104975,,,,GCA_012026875.1,88.51,0.16,86.49,2.70,2870147,249
ASM310497v1,Methylomirabilota,Methylomirabilales,Methylomirabilaceae,Methylomirabilis,Methylomirabilis sp003104975,,,,GCA_003104975.1,98.28,0.00,94.59,1.35,3001605,19
ASM1618862v1,Methylomirabilota,Rokubacteriales,,,,"USA: California, Modesto",groundwater,He2021,GCA_016188625.1,74.92,0.69,78.38,1.35,2604643,344
ASM1619010v1,Methylomirabilota,Rokubacteriales,,,,"USA: California, Modesto",groundwater,He2021,GCA_016190105.1,77.27,2.41,78.38,0.00,1618811,395
ASM1619624v1,Methylomirabilota,Rokubacteriales,,,,"USA: California, Calistoga",groundwater,He2021,GCA_016196245.1,73.28,4.14,85.14,1.35,4738864,245
ASM1619873v1,Methylomirabilota,Rokubacteriales,,,,"USA: California, Modesto",groundwater,He2021,GCA_016198735.1,70.69,0.00,72.97,1.35,3575444,358
ASM1620638v1,Methylomirabilota,Rokubacteriales,CSP1-6,,,"USA: California, Modesto",groundwater,He2021,GCA_016206385.1,70.27,1.72,74.32,1.35,2127186,411
ASM1620938v1,Methylomirabilota,Rokubacteriales,CSP1-6,,,"USA: California, Modesto",groundwater,He2021,GCA_016209385.1,84.64,2.41,94.59,1.35,4568721,310
ASM1620942v1,Methylomirabilota,Rokubacteriales,CSP1-6,,,"USA: California, Modesto",groundwater,He2021,GCA_016209425.1,86.44,0.69,90.54,1.35,4447728,449
ASM1617996v1,Methylomirabilota,Rokubacteriales,CSP1-6,CSP1-6,,"USA: California, Modesto",groundwater,He2021,GCA_016179965.1,89.03,1.03,89.19,1.35,2992664,166
ASM1618801v1,Methylomirabilota,Rokubacteriales,CSP1-6,CSP1-6,,"USA: California, Modesto",groundwater,He2021,GCA_016188015.1,75.16,0.00,77.03,0.00,2585013,413
ASM1619304v1,Methylomirabilota,Rokubacteriales,CSP1-6,CSP1-6,,"USA: California, Modesto",groundwater,He2021,GCA_016193045.1,86.21,0.69,91.89,1.35,3858217,181
ASM1620164v1,Methylomirabilota,Rokubacteriales,CSP1-6,CSP1-6,,"USA: California, Calistoga",groundwater,He2021,GCA_016201645.1,87.07,2.41,85.14,2.70,1703163,235
ASM144338v1,Methylomirabilota,Rokubacteriales,CSP1-6,CSP1-6,CSP1-6 sp001443385,"USA: Colorado, Rifle",groundwater,Hug2016,GCA_001443385.1,86.21,0.69,89.19,1.35,2876791,158
ASM179028v1,Methylomirabilota,Rokubacteriales,CSP1-6,CSP1-6,CSP1-6 sp001443385,"USA: Colorado, Rifle",groundwater,Anantharaman2016,GCA_001790285.1,92.79,2.41,89.19,2.70,3093383,211
ANG148,Methylomirabilota,Rokubacteriales,GWA2-73-35,,,"USA: California, Sagehorn",hilly grassland,Sharrar2020,Rokubacteria_ANG_148,91.07,4.29,86.49,4.05,4537357,671
ANG66,Methylomirabilota,Rokubacteriales,GWA2-73-35,,,"USA: California, Sagehorn",Garry oak,Sharrar2020,Rokubacteria_ANG_66,81.03,0.85,87.84,4.05,4260344,389
ANG79,Methylomirabilota,Rokubacteriales,GWA2-73-35,,,"USA: California, Sagehorn",hilly grassland,Sharrar2020,Rokubacteria_ANG_79,72.57,1.55,85.14,2.70,4169002,494
ASM1618797v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,,,"USA: California, Modesto",groundwater,He2021,GCA_016187975.1,89.81,0.69,87.84,2.70,4179931,452
ASM1620008v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,,,"USA: California, Calistoga",groundwater,He2021,GCA_016200085.1,91.38,0.69,95.95,1.35,3566302,57
ASM1620160v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,,,"USA: California, Calistoga",groundwater,He2021,GCA_016201605.1,70.61,3.45,72.97,0.00,3066707,613
ASM1620622v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,,,"USA: California, Modesto",groundwater,He2021,GCA_016206225.1,70.38,0.85,74.32,2.70,2548149,604
ASM1620963v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,,,"USA: California, Modesto",groundwater,He2021,GCA_016209635.1,87.07,0.69,85.14,1.35,4159852,270
ERMGT600,Methylomirabilota,Rokubacteriales,GWA2-73-35,,,"USA: Colorado, East River",floodplain soil,Carnevali2021,ERMGT600_2_Rokubacteria_70_7_curated,77.87,1.72,83.78,4.05,2407735,554
JGI20170821b,Methylomirabilota,Rokubacteriales,GWA2-73-35,,,"Tanzania: Mahale, Lake Tanganyika",freshwater lake,Tran2021,GCA_016866775.1,93.10,0.69,98.65,1.35,5133623,159
ASM322051v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,20CM-2-70-11,20CM-2-70-11 sp001914535,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Crits-Christoph2018,GCA_003220515.1,94.51,0.69,97.30,2.70,4274359,356
ASM191801v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,20CM-2-70-11,20CM-2-70-11 sp003220315,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Butterfield2016,GCA_001918015.1,78.68,0.69,86.49,1.35,2917289,356
ASM191901v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,20CM-2-70-11,20CM-2-70-11 sp003220315,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Butterfield2016,GCA_001919015.1,74.14,1.72,75.68,0.00,2102773,328
ASM192049v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,20CM-2-70-11,20CM-2-70-11 sp003220315,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Butterfield2016,GCA_001920495.1,77.05,1.72,77.03,0.00,2604617,371
ASM322031v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,20CM-2-70-11,20CM-2-70-11 sp003220315,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Crits-Christoph2018,GCA_003220315.1,94.83,0.69,98.65,4.05,4264681,301
ASM191753v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,40CM-4-69-5,40CM-4-69-5 sp001917535,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Butterfield2016,GCA_001917535.1,86.21,0.69,94.59,1.35,3675878,127
ASM191800v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,40CM-4-69-5,40CM-4-69-5 sp001917535,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Butterfield2016,GCA_001918005.1,84.14,0.69,90.54,4.05,4163701,189
ERMLT760,Methylomirabilota,Rokubacteriales,GWA2-73-35,40CM-68-15,,"USA: Colorado, East River",floodplain soil,Carnevali2021,ERMLT760_16_10D_Rokubacteria_69_16_curated,82.76,0.66,87.84,0.00,2646355,336
